feature_prc,features_elimination_prc,epsilon_factor,dist_functions,accuracy,round_time
0.05,0.2,"[100, 10]","['wasserstein', 'jm', 'hellinger']",0.8925,12.988859
0.05,0.2,"[50, 50]",wasserstein,0.889,4.222771
0.05,0.2,"[50, 25]",wasserstein,0.889,4.253938
0.05,0.35,"[100, 10]",hellinger,0.8865,4.229128
0.05,0.35,"[100, 10]","['wasserstein', 'hellinger']",0.8865,10.898804
0.05,0.35,"[10, 100]",hellinger,0.852,4.713273
0.1,0.5,"[10, 100]",jm,0.9865,5.49738
0.1,0.0,"[10, 100]",jm,0.985,5.657569
0.1,0.35,"[10, 100]",jm,0.9845,5.584241
0.1,0.5,"[25, 25]",jm,0.984,5.38112
0.1,0.5,"[25, 50]",jm,0.984,5.357407
0.1,0.0,"[25, 25]",jm,0.9835,5.695015
0.1,0.0,"[100, 10]",jm,0.9835,5.738313
0.1,0.0,"[100, 10]","['wasserstein', 'jm']",0.9835,12.38875
0.1,0.0,"[25, 50]",jm,0.9835,5.818952
0.1,0.35,"[100, 10]",jm,0.9835,5.478813
0.1,0.35,"[50, 50]",jm,0.9835,5.629917
0.1,0.35,"[50, 25]",jm,0.9835,5.683569
0.1,0.5,"[10, 100]","['wasserstein', 'jm']",0.9835,12.201505
0.1,0.5,"[50, 25]","['wasserstein', 'jm', 'hellinger']",0.9835,13.364672
0.1,0.0,"[50, 50]",jm,0.983,5.700933
0.1,0.0,"[50, 25]",jm,0.983,5.838076
0.1,0.5,"[50, 50]",jm,0.983,5.297273
0.1,0.5,"[50, 50]","['wasserstein', 'jm', 'hellinger']",0.983,13.385187
0.1,0.5,"[10, 100]","['jm', 'hellinger']",0.983,12.399203
0.1,0.5,"[50, 25]",jm,0.983,5.288033
0.1,0.0,"[25, 25]","['jm', 'hellinger']",0.9825,12.778225
0.1,0.0,"[25, 50]","['jm', 'hellinger']",0.9825,12.823326
0.1,0.35,"[25, 50]","['wasserstein', 'jm']",0.9825,12.52164
0.1,0.5,"[25, 25]","['wasserstein', 'jm']",0.9825,12.29359
0.1,0.5,"[100, 10]",jm,0.9825,5.344428
0.1,0.5,"[100, 10]","['jm', 'hellinger']",0.9825,12.303513
0.1,0.5,"[25, 50]","['wasserstein', 'jm']",0.9825,12.211523
0.1,0.35,"[25, 25]",jm,0.982,5.57353
0.1,0.35,"[25, 50]",jm,0.982,5.57569
0.1,0.0,"[50, 50]","['wasserstein', 'jm']",0.9815,12.573869
0.1,0.0,"[50, 50]","['jm', 'hellinger']",0.9815,12.723323
0.1,0.0,"[50, 25]","['wasserstein', 'jm']",0.9815,13.423171
